title,creator,issuance,publisher,url,contributor1,contributor2,contributor3,contributor4,contributor5,subject1,subject2,subject3,subject4,subject5,description1,description2,description3,description4,description5
13 let raboty,"Mayakovsky, Vladimir",1922,Tip. VKHUTEMAS,http://hdl.handle.net/2027/uc1.$b431822,,,,,,,,,,,Mode of access: Internet.,,,,
150 Millionen,"Mayakovsky, Vladimir",1981,Zentralantiquariat der Deutschen Demokratischen Republik,http://hdl.handle.net/2027/uc1.32106008534692,,,,,,,,,,,Mode of access: Internet.,,,,
150 Millionen,"Mayakovsky, Vladimir",1981,Athenäum,http://hdl.handle.net/2027/uc1.b5145099,,,,,,,,,,,Translation of: Sto pi︠a︡tʹdesi︠a︡t millionov.,"Reprint.  Originally published:  Berlin : Malik-Verlag, 1924.",Mode of access: Internet.,,
3 great classics,,1964,Arc Books,http://hdl.handle.net/2027/uc1.b3477119,"Chekhov, Anton Pavlovich","Mérimeé, Prosper","Chamisso, Adelbert von",,,,,,,,"Peter Schlemihl, by A. von Chamisso; translated by L. von Löwenstein-Wertheim.--A slight misunderstanding, by P. Mérimée; translated by D. Parmée.--Wife for sale, by A. Chekhov; translated by D. Tutaev.",Mode of access: Internet.,,,
"3 poemas de Lermontov, voz y piano","Ponce, Manuel M.",1951,,http://hdl.handle.net/2027/mdp.39015007921250,"Lermontov, Mikhail I͡Urʹevich",,,,,Songs (High voice) with piano,,,,,"French, Spanish, and English words.",Les etoiles (The stars).--L'ange (The angel).--La bohemienne (The gipsy girl),Mode of access: Internet.,,
3 sisters on Hope Street,"Samuels, Diane",2008,Nick Hern,http://hdl.handle.net/2027/mdp.39015082757165,"Chekhov, Anton Pavlovich","Oberman, Tracy-Ann",,,,Sisters -- England -- Liverpool -- Drama,Jews -- England -- Liverpool -- Drama,,,,"""Hampstead Theatre and Liverpool Everyman and Playhouse present.""",Mode of access: Internet.,,,
A la recherche de Tchékhov; essai de biographie intérieure,"Alexandre, Aimée",1971,Buchet-Chastel,http://hdl.handle.net/2027/mdp.39015027539827,,,,,,,,,,,Mode of access: Internet.,,,,
A la recherche de Tchékhov; essai de biographie intérieure,"Alexandre, Aimée",1971,Buchet-Chastel,http://hdl.handle.net/2027/uc1.$b396131,,,,,,,,,,,Mode of access: Internet.,,,,
A. Chekhov i Iv. Bunin,"Geĭdeko, Valeriĭ",1987,Sov. pisatelʹ,http://hdl.handle.net/2027/mdp.39015019143307,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
"A. N. Radishchev, V. G. Belinskiĭ, M. I͡U. Lermontov : zhanr i stil' khudozhestvennogo proizvedenii͡a",,1974,Ri͡azanskiĭ gos. pedagog. institut,http://hdl.handle.net/2027/mdp.39015024659909,,,,,,,,,,,In Cyrillic characters.,"Bibliographical references includes in ""Primechanii͡a"": p. 213.",Mode of access: Internet.,,
A. P. Chekhov : ideĭnye i tvorcheskie iskanii͡a,"Berdnikov, Georgiĭ Petrovich",1984,Khudozh. lit-ra,http://hdl.handle.net/2027/mdp.39015013276889,,,,,,,,,,,Includes bibliographical references and index.,Mode of access: Internet.,,,
A. P. Chekhov : materialy literaturnogo muzei͡a Pushkinskogo doma,,1982,Nauka,http://hdl.handle.net/2027/mdp.39015032026430,"Grudinina, I. E.",,,,,,,,,,At head of title: Akademii͡a nauk SSSR. Institut russkoĭ literatury (Pushkinskiĭ dom),Includes bibliographical references and index.,Mode of access: Internet.,,
"A. P. Chekhov : seminariĭ, posobie dli͡a studentov","Aleksandrov, Boris Ivanovich",1964,Prosveshenie,http://hdl.handle.net/2027/mdp.39015004824275,,,,,,,,,,,Mode of access: Internet.,,,,
A. P. Chekhov i ego izdatelʹ A. F. Marks,"Viduėt͡skai͡a, Irma Pavlovna",1977,Nauka,http://hdl.handle.net/2027/mdp.39015014163672,,,,,,,,,,,On leaf preceding t.p.: Akademii͡a nauk SSSR. Institut mirovoĭ literatury imeni A. M. Gorʹkogo.,Includes bibliographical references.,Mode of access: Internet.,,
A. P. Chekhov i ego vremi͡a,"Turkov, Andreĭ Mikhaĭlovich",1980,Khudozh. lit.,http://hdl.handle.net/2027/mdp.39015028980343,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
A. P. Chekhov i ego vremi͡a,"Turkov, Andreĭ Mikhaĭlovich",1987,"""Sovetskai͡a Rossii͡a""",http://hdl.handle.net/2027/mdp.39015050954356,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
A. P. Chekhov o literature,"Chekhov, Anton Pavlovich",1955,Gos. izd-vo khudozh. lit-ry,http://hdl.handle.net/2027/mdp.39015026672462,,,,,,"Authors, Russian -- Correspondence, reminiscences, etc",Russian literature -- 19th century,,,,Romanized record.,Mode of access: Internet.,,,
"A. P. Chekhov v portretakh, illi͡ustrat͡sii͡akh, dokumentakh","Kalaushin, Matveĭ Matveevich",1957,,http://hdl.handle.net/2027/mdp.39015030581956,,,,,,,,,,,Romanized.,Mode of access: Internet.,,,
A. P. Chekhov v vospominanii͡akh sovremennikov,,1986,"""Khudozh. lit-ra""",http://hdl.handle.net/2027/mdp.39015013112696,"Gitovich, N. I.",,,,,"Authors, Russian -- 19th century -- Biography",,,,,Includes bibliographical references and index.,Mode of access: Internet.,,,
A. P. Chekhov v vospominanii͡akh sovremennikov; sbornik,"Kotov, A. K.",1947,Gosudarstvennoe izd-vo khudozhestvennoĭ literatury,http://hdl.handle.net/2027/mdp.39015030582178,,,,,,,,,,,"Bibliographical references included in ""Kommentarii"" (p. 481-[506])",Mode of access: Internet.,,,
A. P. Chekhov v znachenīi russkago pisateli͡a-khudozhnika : iz kriticheskoĭ literatury o Chekhovi͡e,,1906,Sklad v knizhn. magazini͡e V. S. Spiridonova i A. M. Mikhaĭlova,http://hdl.handle.net/2027/njp.32101071958944,"Pokrovskīĭ, N.",,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
A. P. Chekhov vo Frant͡sii : Lekt͡sii͡a,"Egorov, Nikolaĭ Sergeevich",1975,LGPI,http://hdl.handle.net/2027/mdp.39015030581840,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
"A. P. Chekhov, 25 let so dni͡a smerti, 1904-1929",,1962,Gos. izd-vo,http://hdl.handle.net/2027/mdp.39015027539835,"Sobolev, I͡Uriĭ",,,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
A. P. Chekhov. Posobie dlia shkol i stupeni ..,"Golubkov, V.",1931,,http://hdl.handle.net/2027/mdp.39015065501523,,,,,,,,,,,Provisional Circ record,Mode of access: Internet.,,,
A. P. Chekhov,"Ermilov, V.",1951,,http://hdl.handle.net/2027/mdp.39015065291307,,,,,,,,,,,Romanized.,Mode of access: Internet.,,,
A. P. Chekhov,"Ermilov, V.",1959,Sov. pisatelʹ,http://hdl.handle.net/2027/mdp.39015058527238,,,,,,,,,,,Mode of access: Internet.,,,,
A. P. Chekhov,"Ermilov, V.",1959,Sov. pisatelʹ,http://hdl.handle.net/2027/uc1.$b166233,,,,,,,,,,,Mode of access: Internet.,,,,
A. P. Chekhov,"Ermilov, V.",1959,,http://hdl.handle.net/2027/uc1.$b697522,,,,,,,,,,,Romanized.,Mode of access: Internet.,,,
A.P. Chekhov (romanized title) : bibliografii︠a︡ : 1904-1944,"Muratova, Ksenii︠a︡ Dmitrievna",1978,Leningradskai︠a︡ knizhnai︠a︡ lavka pisateleĭ,http://hdl.handle.net/2027/uc1.b3725984,"Ostrovskiĭ, A.",,,,,,,,,,"Photocopy.  Ann Arbor, Mich. : University Microfilms, 1978. -- 23 cm.",Text in Cyrillic alphabet.,Mode of access: Internet.,,
A.P. Chekhov : bibliografiia,,    ,,http://hdl.handle.net/2027/uc1.$b707683,,,,,,,,,,,Mode of access: Internet.,,,,
"A.P. Chekhov : Bibliografii͡a, 1904-1944","Muratova, Ksenii͡a Dmitrievna",1962,Leningradskai͡a knizhnai͡a lavka pisatelei,http://hdl.handle.net/2027/mdp.39015065291836,,,,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
A.P. Chekhov : literaturnyi byt i tvorchestvo po memuarnym materialam,"Feĭder, V. A.",1960,Academia,http://hdl.handle.net/2027/mdp.39015030581907,,,,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
A.P. Chekhov : literaturnyĭ byt i tvorchestvo po memuarnym materialam,,1928,"""Academia""",http://hdl.handle.net/2027/uc1.b4084855,"Feĭder, V. A.",,,,,"Authors, Russian -- 19th century -- Biography",,,,,Includes indexes.,Mode of access: Internet.,,,
A.P. Chekhov : pisʹma : toma 1-12 : ukazateli k tomam 1-12,,1983,Nauka,http://hdl.handle.net/2027/uc1.32106006637323,,,,,,,,,,,Mode of access: Internet.,,,,
A.P. Chekhov : statʹi i ocherki,"Roskin, A.",1959,Gos. izd-vo khudozh. lit-ry,http://hdl.handle.net/2027/mdp.39015054016616,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
A.P. Chekhov : statʹi i ocherki,"Roskin, A.",1959,Gos. izd-vo khudozh. lit-ry,http://hdl.handle.net/2027/uc1.$b396128,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
A.P. Chekhov : Voprosy masterstva,"Kuznet͡sova, Margarita Vasil'evna",1968,Sred.-Uralʹskoe kn. izd.,http://hdl.handle.net/2027/mdp.39015058527428,,,,,,,,,,,At head of title: Ministerstvo prosveshchenii͡a RSFSR. Sverdlovskiigosudarstvennyi pedagogicheskii institut. M. Kuznet͡sova.,Bibliographical footnotes.,Mode of access: Internet.,,
A.P. Chekhov i drevnerusskai͡a kulʹtura,"Nikolaeva, S. I͡U",2000,TvGU,http://hdl.handle.net/2027/inu.30000077628810,,,,,,Russian literature -- To 1700 -- Influence,,,,,At head of title: Ministerstvo obrazovanii͡a Rossiĭskoĭ Federat͡sii. Tverskoĭ gosudarstvennyĭ universitet. Kafedra istorii russkoĭ literatury.,Includes bibliographical references.,Mode of access: Internet.,,
"A.P. Chekhov i izdatelʹstvo ""Posrednik"" : sbornik nauchnykh trudov",,1992,Gos. literaturnyĭ muzeĭ,http://hdl.handle.net/2027/uc1.b4084879,"Shakhalova, N. V.",,,,,Publishers and publishing -- Russia -- Correspondence,"Authors, Russian -- 19th century -- Correspondence",,,,At head of title: Ministerstvo kulʹtury i turizma Rossiĭskoĭ Federat͡sii. Gosudarstvennyĭ literaturnyĭ muzeĭ.,Includes bibliographical references.,Mode of access: Internet.,,
A.P. Chekhov i nash kraĭ : k 75-letii͡u so dni͡a rozhdenii͡a : sbornik,,1961,"Azovo-Chernomorskoe izd-vo, Ann Arbor, Mich.",http://hdl.handle.net/2027/mdp.39015027539843,"Linin, Anatolii Mikhailovich",,,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
A.P. Chekhov i nash kraĭ : sbornik,"Linin, A. M.",1935,Azovo-Chernomorskoe kraevoe kn-vo,http://hdl.handle.net/2027/uc1.b3463801,,,,,,,,,,,"""K 75-letii︠u︡ so dni︠a︡ rozhdenii︠a︡.""",Includes bibliography.,Mode of access: Internet.,,
A.P. Chekhov i russkai͡a obshchestvennostʹ : K pi͡atidesi͡atiletii͡u so dni͡a rozhdenii͡a,"Zamotin, I. I.",1910,Tip. Varshavskogo Uchebnogo Okruga,http://hdl.handle.net/2027/mdp.39015074827737,,,,,,,,,,,"Reprinted from Russkiĭ filologicheskiĭ viestnik, 1910. Originally delivered as a lecture, Jan. 10, 1910.",Mode of access: Internet.,,,
A.P. Chekhov i V.G. Korolenko : perepiska,"Chekhov, Anton Pavlovich",1923,Izd. T-va I.D. Sytina,http://hdl.handle.net/2027/njp.32101032329342,"Piksanov, Nikolaĭ Kirʹi͡akovich","Korolenko, Vladimir Galaktionovich",,,,"Authors, Russian -- 19th century -- Biography",,,,,At head of title: Muzeĭ imeni A. P. Chekhova v Moskve.,Includes bibliographical references and index.,Mode of access: Internet.,,
A.P. Chekhov na Sakhaline : bibliograficheskiĭ ukazatelʹ,,1984,Sakhalinskai͡a oblastnai͡a biblioteka,http://hdl.handle.net/2027/uc1.b4084712,"Chertovskikh, G. M.","Borisova, V. G.",,,,,,,,,At head of title: Upravlenie kulʹtury Sakhalinskogo oblispolkoma. Sakhalinskai͡a oblastnai͡a biblioteka. Spravochno-bibliograficheskiĭ otdel.,Mode of access: Internet.,,,
A.P. Chekhov na Sakhaline,"Teplinskii, M",    ,,http://hdl.handle.net/2027/uc1.b3670729,,,,,,,,,,,Mode of access: Internet.,,,,
A.P. Chekhov na Sakhaline,"Teplinskiĭ, Mark Veniaminovich",1990,"Dalʹnevostochnoe knizhnoe izd-vo, Sakhalinskoe otd-nie",http://hdl.handle.net/2027/mdp.39015038212729,,,,,,,,,,,Includes bibliographical references (p. 142).,Mode of access: Internet.,,,
A.P. Chekhov v Bogimove,"Kandidov, A. V.",1991,"Tvorcheskoe obʺedinenie ""Slova"" Kaluzhskoĭ oblastnoĭ organizat͡sii Soi͡uza zhurnalistov SSSR",http://hdl.handle.net/2027/mdp.39015033071773,,,,,,"Authors, Russian -- 19th century",,,,,Includes bibliographical references.,Mode of access: Internet.,,,
A.P. Chekhov v dorevoli͡ut͡sionnom gruzinskom teatre,"Lordkipanidze, Otar Aleksandrovich",1978,Met͡sniereba,http://hdl.handle.net/2027/mdp.39015030582186,,,,,,,,,,,Added t.p. in Georgian,On leaf preceding t.p.: Akademii͡a nauk Gruzinskoĭ SSR. Institut istorii gruzinskoĭ literatury im. Sh. Rustaveli,Includes bibliographical references,Mode of access: Internet.,
A.P. Chekhov v dorevoli͡ut͡sionnom gruzinskom teatre,"Lordkipanidze, Otar Aleksandrovich",1978,Met͡sniereba,http://hdl.handle.net/2027/uc1.b4084863,,,,,,,,,,,Added t.p. in Georgian,On leaf preceding t.p.: Akademii͡a nauk Gruzinskoĭ SSR. Institut istorii gruzinskoĭ literatury im. Sh. Rustaveli,Includes bibliographical references,Mode of access: Internet.,
A.P. Chekhov v Moskovskom Khudozhestvennom teatre,"Stanislavsky, Konstantin",1962,"Izd. Muzei͡a Moskovskogo Khudozh. akademicheskogo teatra Arbor, Mich.",http://hdl.handle.net/2027/mdp.39015058532337,,,,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
A.P. Chekhov v ponimanii kritiki : materialy dli͡a kharakteristiki ego tvorchestva,"Lyskov, I. P.",1962,Tip. V. A. Gatt͡suk,http://hdl.handle.net/2027/mdp.39015028046913,,,,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
A.P. Chekhov v russkoĭ teatralʹnoĭ kritike : kommentirovannai͡a antologii͡a,"Kuzicheva, A. P.",1999,Chekhovskiĭ poligraficheskiĭ kombinat,http://hdl.handle.net/2027/mdp.39015070112340,,,,,,,,,,,Includes bibliographical references and index.,"880-04t. 1. Teatr molodogo veka..., 1887-1904 -- t. 2. Ot Chekhova do nashikh dneĭ, 1904-1917.",Mode of access: Internet.,,
A.P. Chekhov v vospominanii͡akh sovremennikov : sbornik,,1947,Gos. izd-vo khudozhestvennoĭ literatury,http://hdl.handle.net/2027/uc1.$b166221,"Kotov, A. K.","Fedorov, I. V.","Gitovich, N. I.",,,,,,,,Some editions published under title: Chekhov v vospominanii͡akh sovremennikov and edited by N.I. Gitovich and I.V. Fedorov.,Russian in Cyrillic characters.,"Bibliographical references included in ""Kommentarii"" (p. 481-[506])",Mode of access: Internet.,
A.P. Chekhov v vospominanii͡akh sovremennikov i ego pisʹmakh,"Lʹvov-Rogachevskiĭ, V.",1923,Izd-vo t-va V.V. Dumnova,http://hdl.handle.net/2027/uc1.$b127678,,,,,,,,,,,Bibliograhy: p. [197]-207.,Mode of access: Internet.,,,
A.P. Chekhov v vospominanii͡akh sovremennikov,,1960,Gos. izd-vo khudozh. lit-ry,http://hdl.handle.net/2027/mdp.39015027539850,"Fedorov, I. V.","Gitovich, N. I.",,,,,,,,,Some earlier editions published under title: Chekhov v vospominanii͡akh sovremennikov and edited by A.K. Kotov.,In Cyrillic characters.,"Bibliographical references included in ""Primechanii͡a"" (p. [703]-[797])",Mode of access: Internet.,
A.P. Chekhov v vospominanii͡akh sovremennikov,,1960,Gos. izd-vo khudozh. lit-ry,http://hdl.handle.net/2027/uc1.b4084911,"Fedorov, I. V.","Gitovich, N. I.",,,,,,,,,Some earlier editions published under title: Chekhov v vospominanii͡akh sovremennikov and edited by A.K. Kotov.,In Cyrillic characters.,"Bibliographical references included in ""Primechanii͡a"" (p. [703]-[797])",Mode of access: Internet.,
A.P. Chekhov v vospominanii͡akh sovremennikov,,2004,"""Gelios ARV""",http://hdl.handle.net/2027/mdp.39015060359620,"Amfiteatrov, Aleksandr","Kostin, A. L.",,,,,,,,,Materials originally published in 1914 in Russkoe slovo.,"""Nauchnoe izdanie""--T.p. verso.",Mode of access: Internet.,,
"A.P. Chekhov, dokumenty, fotografii = Anton Chekhov, documents, photographs",,1984,"""Sov. Rossii͡a""",http://hdl.handle.net/2027/mdp.39015011245480,"Polot͡skai͡a, Ė. A.","Kuleshov, Vasiliĭ Ivanovich","Shcheboleva, G.","Varent͡sova, I.",,"Authors, Russian -- 19th century -- Correspondence -- Facsimiles","Authors, Russian -- 19th century -- Portraits, etc",,,,Includes index.,Summary in English.,Mode of access: Internet.,,
"A.P. Chekhov, Otrìvki iz vospominanïĭ","Gorky, Maksim",1905,"Verlag ""Snanije""",http://hdl.handle.net/2027/mdp.39015067077837,,,,,,,,,,,Mode of access: Internet.,,,,
A.P. Chekhov. Sbornik statei,,1910,,http://hdl.handle.net/2027/mdp.39015027539868,,,,,,,,,,,Mode of access: Internet.,,,,
A.P. Chekhov,,1930,"Koop. izd-vo pisateleĭ ""Nikitinskie subbotniki,""",http://hdl.handle.net/2027/uc1.b4084711,,,,,,,,,,,Includes a chronology of Chekhov's life.,"Includes bibliographical references (p. 195-208; p. 195-197, ""Proizvedenii͡a A.P. Chekhova"").",Mode of access: Internet.,,
A.P. Chekhov,"Ermilov, V.",1954,Sovetskiĭ pisatelʹ,http://hdl.handle.net/2027/mdp.39015058527436,,,,,,,,,,,In Cyrillic characters.,Mode of access: Internet.,,,
A.P. Chekhov,"Ermilov, V.",1954,Sovetskiĭ pisatelʹ,http://hdl.handle.net/2027/uc1.$b81349,,,,,,,,,,,In Cyrillic characters.,Mode of access: Internet.,,,
A.P. Chekhov,"Berdnikov, Georgiĭ Petrovich",1997,Feniks,http://hdl.handle.net/2027/mdp.39015040845862,,,,,,"Authors, Russian -- 19th century -- Biography",,,,,Mode of access: Internet.,,,,
"A.P. Chekhov: rukopisi, pisʹma, biograficheskie dokumenty, vospominanii͡a, teatralʹnye postanovki, risunki, fotografii. Opisanie materialov",,1960,Sovetskai͡a Rossii͡a,http://hdl.handle.net/2027/mdp.39015039453819,"Mirkina, I͡U. M.","Nechaev, V. P.",,,,,,,,,On verso of t.p.: Glavnoe arkhivnoe upravlenie.,Mode of access: Internet.,,,
"A.P. Chekhov: rukopisi, pisʹma, biograficheskie dokumenty, vospominanii͡a, teatralʹnye postanovki, risunki, fotografii. Opisanie materialov",,1960,Sovetskai͡a Rossii͡a,http://hdl.handle.net/2027/uc1.b4594556,"Mirkina, I͡U. M.","Nechaev, V. P.",,,,,,,,,On verso of t.p.: Glavnoe arkhivnoe upravlenie.,Mode of access: Internet.,,,
A.P. Chekhov; ocherk tvorchestva,"Papernyĭ, Z.",1954,Gos. izd-vo khudozh. lit-ry,http://hdl.handle.net/2027/uc1.$b396127,,,,,,,,,,,In Cyrillic characters.,Mode of access: Internet.,,,
A.P. Chekhov; sbornik dokumentov i materialov,"Chekhov, Anton Pavlovich",1947,"OGIZ, Gos. izd-vo khudozh. lit-ry",http://hdl.handle.net/2027/mdp.39015026672454,,,,,,,,,,,At head of title: Glavnoe arkhivnoe upravlenie MVD SSSR.,Mode of access: Internet.,,,
A.P. C̆echovs Lyckan och Ett litet skämt : form och innehåll : en första rapport från C̆hechov-projektet,"Davidsson, Carin",1984,Åbo Akademi :,http://hdl.handle.net/2027/uc1.b4084552,"Björklund, Martina","Chekhov, Anton Pavlovich",,,,,,,,,Russian and Swedish.,Includes bibliographies.,Mode of access: Internet.,,
A.P. Čechovs Lyckan och Ett litet skämt : form och innehåll : en första rapport från Čechov-projektet,"Davidsson, Carin",1984,Åbo akademi :,http://hdl.handle.net/2027/uc1.b4084843,"Björklund, Martina",,,,,Discourse analysis,Semantics,,,,Includes bibliographies.,Mode of access: Internet.,,,
About Chekhov : the unfinished symphony,"Bunin, Ivan Alekseevich",2007,Northwestern University Press,http://hdl.handle.net/2027/mdp.39015068814170,"Marullo, Thomas Gaiton",,,,,"Authors, Russian -- 19th century -- Biography",,,,,Mode of access: Internet.,,,,
About Chekhov : the unfinished symphony,"Bunin, Ivan Alekseevich",2007,Northwestern University Press,http://hdl.handle.net/2027/uc1.32106018760790,"Marullo, Thomas Gaiton",,,,,"Authors, Russian -- 19th century -- Biography",,,,,Mode of access: Internet.,,,,
"The actor's Chekhov : Nikos Psacharopoulos and the company of the Williamstown Theatre Festival, on the plays of Anton Chekhov","Hackett, Jean",1993,Smith and Kraus,http://hdl.handle.net/2027/uc1.32106011118947,"Psacharopoulos, Nikos",,,,,Acting,Actors -- United States -- Interviews,,,,Mode of access: Internet.,,,,
Akadamicheskiĭ int͡sident,"Derman, A. B.",1960,,http://hdl.handle.net/2027/mdp.39015049219937,,,,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
"Akademicheskiĭ int︠s︡ident : istorii︠a︡ ukhoda iz Akademii nauk V.G. Korolenko i A.P. Chekhova, v svi︠a︡zi s ""razʺi︠a︡sneniem"" M. Gorʹkogo : po materialam arkhiva V.G. Korolenko","Derman, A. B.",1978,Krymizdat,http://hdl.handle.net/2027/uc1.b3183634,,,,,,,,,,,"Photocopy.Ann Arbor, Mich. :University Microfilms International,1978.",Mode of access: Internet.,,,
Akademicheskīĭ Lermontov i lermontovskai͡a poėtika,"Durylin, S. N.",1916,"Izd-vo ""Musaget,""",http://hdl.handle.net/2027/osu.32435016730640,,,,,,,,,,,"Originally published: Trudy i dni, tetradʹ 8. Moskva : ""Musaget,"" 1916.",Caption title.,Mode of access: Internet.,,
Akademicheskīĭ Lermontov i lermontovskai︠a︡ poėtika,"Durylin, S. N.",1966,"Izd-vo ""Musaget,""",http://hdl.handle.net/2027/coo.31924032804381,,,,,,,,,,,Includes bibliographical footnotes.,"Reproduced from Trudy i dni, tetradʹ 8.","Photocopy.Ann Arbor, Mich. :University Microfilms,1966.20 cm.",Mode of access: Internet.,
"The album, and five other tales. New ser","Chekhov, Anton Pavlovich",1958,Sir Isaac Pitman & Sons,http://hdl.handle.net/2027/inu.30000047580828,"Segal, Louis",,,,,Russian language -- Readers,,,,,Mode of access: Internet.,,,,
"The album, and five other tales. New ser","Chekhov, Anton Pavlovich",1958,Sir Isaac Pitman & Sons,http://hdl.handle.net/2027/inu.39000003185290,"Segal, Louis",,,,,Russian language -- Readers,,,,,Mode of access: Internet.,,,,
Aleksandra i Mikhail : posledni͡ai͡a li͡ubovʹ Lermontova,"Belova, Lidii͡a",2005,Profizdat,http://hdl.handle.net/2027/mdp.39015060347757,"Smirnova-Rosset, A. O.",,,,,,,,,,"880-05""Khudozhestvenno-dokumentalʹnoe proizvedenie 'Aleksandra i Mikhail' sozdano na osnove memuarov A.O. Smirnovoĭ-Rosset""--T.p. verso.",Includes bibliographical references (p. 428-[429]).,Mode of access: Internet.,,
"Alekseev-Stanislavskiĭ, Chekhov i drugie : vishnevosadskai͡a ėpopei͡a","Brodskai͡a, G.",2000,Agraf,http://hdl.handle.net/2027/mdp.39015053191634,,,,,,Theater -- Soviet Union -- History,Theater -- Russia -- History,,,,Includes bibliographical references.,t. 1. Seredina XIX veka-1898 -- t. 2. 1902-1950-e.,Mode of access: Internet.,,
All things are possible and Penultimats words and other essays,"Shestov, Lev",1977,Ohio University press,http://hdl.handle.net/2027/mdp.39015000620586,"Shestov, Lev",,,,,Philosophy,,,,,"Reprint of two works, the first published in 1920 by R. W. McBride, New York, the second published in 1916 by J. W. Luce, Boston.",Translation of Apofeoz bezpochvennosti and of Nachala i kont͡sy.,"""The works of Lev Shestov"": p. 233-239.",Mode of access: Internet.,
Allemagne et Russie; études historiques et littéraires,Saint-René-Taillandier,1856,Michel Lévy frères,http://hdl.handle.net/2027/hvd.32044088050547,,,,,,Russians -- Germany,Germans -- Soviet Union,,,,"""Avant-propos"" signed: Henri Heine.","Reprinted from Revue des deux mondes, 1852-1855.",1. Le baron de Stein et la politique allemande de 1813.--2. Les Allemands en Russie et les Russes en Allemagne.--3. La guerre du Caucase. Le prince Woronzoff et le prophète Shamyl.--4. Le poëte du Caucase. La vie et les écrits de Michel Lermontof.--5. L'histoire et l'historien de la Bohème. Franz Palacky.,Mode of access: Internet.,
Alʹmanakh Melikhovo,,1998,Gosudarstvennyĭ literaturno-memorialʹnyĭ muzeĭ-zapovednik A.P. Chekhova,http://hdl.handle.net/2027/mdp.39015064712436,,,,,,,,,,,Latest issue consulted: 2003.,Mode of access: Internet.,,,
Alʹmanakh s Mai͡akovskim,,1934,Sovetskai͡a literatura,http://hdl.handle.net/2027/uc1.b3933799,"Kirsanov, Semen","Brik, Osip Maksimovich","Aseev, Nikolaĭ Nikolaevich","Mayakovsky, Vladimir",,Russian literature -- 20th century,,,,,Mode of access: Internet.,,,,
Analitika khudozhestvennogo : vvedenie v literaturovedcheskiĭ analiz,"Ti͡upa, V. I.",2001,Labirint :,http://hdl.handle.net/2027/mdp.39015057903802,,,,,,Russian literature -- History and criticism,Semiotics and literature,Literature -- Aesthetics,Criticism,,Includes bibliographical references (p. 189),Mode of access: Internet.,,,
"Analiz poėticheskikh proizvedeniĭ A.S. Pushkina, M.I︠U︡. Lermontova, F.I. Ti︠u︡tcheva","Girshman, M. M.",1981,Vysshai︠a︡ shkola,http://hdl.handle.net/2027/mdp.39015008567938,,,,,,,,,,,Authorized for instructional purposes.,Includes bibliographical references.,Mode of access: Internet.,,
"Analiz poėticheskikh proizvedeniĭ A.S. Pushkina, M.I︠U︡. Lermontova, F.I. Ti︠u︡tcheva","Girshman, M. M.",1981,Vysshai︠a︡ shkola,http://hdl.handle.net/2027/uc1.b5172834,,,,,,,,,,,Authorized for instructional purposes.,Includes bibliographical references.,Mode of access: Internet.,,
Analiz poėticheskogo proizvedenii︠a︡,"Goncharov, B. P.",1987,Znanie,http://hdl.handle.net/2027/uc1.b5086890,,,,,,Poetics,,,,,Bibliography: p. [62],Mode of access: Internet.,,,
Angažované diagnózy,"Sekera, Jaroslav",1973,Lid. nakl.,http://hdl.handle.net/2027/uc1.b3469617,,,,,,,,,,,Includes index.,Mode of access: Internet.,,,
... Anjuta; novellen,"Chekhov, Anton Pavlovich",1928,P. Zsolnay,http://hdl.handle.net/2027/inu.32000011310721,"Hoffmann, Richard",,,,,,,,,,"""1.-5. tausend.""","At head of title:  Anton Tschechow.  ""Autorisierte übersetzung aus dem russischen von Richard Hoffmann.""",Anjuta.--Wortlose liebe.--Der namenstag.--Der spiegel.--Die dame mit dem hündchen.--Das haus mit dem halbstock.--Die gattin.--In der heimat.--Der grosse Wolodja und der kleiue Wolodja.--Gute menschen.--Die geschwister.--Das seelchen.,Mode of access: Internet.,
Anton Čechovs Menschenbild; Materialien zu einer poetischen Anthropologie,"Selge, Gabriele",1970,W. Fink,http://hdl.handle.net/2027/mdp.39015011545129,,,,,,,,,,,"Issued also as thesis, Heidelberg, under title: Studien zu Anton C̆echovs Menschenbild.",Bibliography:p. 118-125.,Mode of access: Internet.,,
