title,creator,issuance,publisher,url,contributor1,contributor2,contributor3,contributor4,contributor5,subject1,subject2,subject3,subject4,subject5,description1,description2,description3,description4,description5
Three sisters,"Chekhov, Anton Pavlovich",1992,Theatre Communications Group,http://hdl.handle.net/2027/mdp.49015002045855,"Schmidt, Paul",,,,,,,,,,Translation of: Tri sestry.,Mode of access: Internet.,,,
Three sisters,"Chekhov, Anton Pavlovich",1992,Theatre Communications Group,http://hdl.handle.net/2027/uc1.32106010062401,"Schmidt, Paul",,,,,,,,,,Translation of: Tri sestry.,Mode of access: Internet.,,,
The three sisters; a drama in four acts,"Chekhov, Anton Pavlovich",1922,Brentanos,http://hdl.handle.net/2027/loc.ark:/13960/t2d80k75d,"Covan, Jenny",,,,,,,,,,Mode of access: Internet.,,,,
The three sisters; a drama in four acts,"Chekhov, Anton Pavlovich",1922,Brentanos,http://hdl.handle.net/2027/mdp.39015002252842,"Covan, Jenny",,,,,,,,,,Mode of access: Internet.,,,,
The three sisters; a drama in four acts,"Chekhov, Anton Pavlovich",1922,Brentanos,http://hdl.handle.net/2027/njp.32101063971285,"Covan, Jenny",,,,,,,,,,Mode of access: Internet.,,,,
The three sisters; a drama in four acts,"Chekhov, Anton Pavlovich",1922,Brentanos,http://hdl.handle.net/2027/uc1.32106001600318,"Covan, Jenny",,,,,,,,,,Mode of access: Internet.,,,,
Three Soviet plays,"Glenny, Misha",1966,Penguin Books,http://hdl.handle.net/2027/uc1.32106001590600,"Shvart͡s, Evgeniĭ","Babelʹ, I.","Mayakovsky, Vladimir",,,Russian drama -- 20th century -- History and criticism,English drama,Russian fiction -- Translations into English,,,Mode of access: Internet.,,,,
Time and temporal structure in Chekhov,"Turner, C. J. G.",1994,"Department of Russian Language and Literature, University of Birmingham",http://hdl.handle.net/2027/mdp.39015032273586,,,,,,Time in literature,,,,,Includes bibliographical references (p. 100-105) and index.,Mode of access: Internet.,,,
Tolstoĭ i Chekhov,"Lashkin, Vladimir I͡Akovlevich",1975,Sov. pisatel',http://hdl.handle.net/2027/mdp.39015015351227,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
"Tolstoĭ i ego sovremenniki : ocherki ; Gert︠s︡en, Nekrasov, Dostoevskīĭ, Turgenev, Li︠e︡skov, Chekhov, Braĭan, Ī. Kronshtadskī, Tolstoĭ i di︠e︡ti","Sergi︠e︡enko, P.",1911,Izd. V.M. Sablina,http://hdl.handle.net/2027/uc1.$b606583,,,,,,,,,,,Mode of access: Internet.,,,,
