id,title,creator,issuance,publisher,contributor1,contributor2,contributor3,contributor4,contributor5,subject1,subject2,subject3,subject4,subject5,description1,description2,description3,description4,description5
mdp.39015038045616,10 bibliographies of 20th century Russian literature,,1977,Ardis,"Moody, Fred",,,,,Russian literature -- 20th century -- Bibliography,,,,,Mode of access: Internet.,,,,
wu.89101094746,"1821-1921: Nekrasov, Dostoevskiĭ : po lichnym vospominanii︠a︡m","Koni, Anatoliĭ Fedorovich",1921,Kooperativnoe izd-vo literatorov i uchenykh,,,,,,,,,,,Mode of access: Internet.,,,,
wu.89099998056,19-seiki Roshia bungaku to iu genzai = Rethinking 19th century Russian literature in our century,,2005,Hokkaidō Daigaku Surabu Kenkyū Sentā,"Mochizuki, Tetsuo","Koshino, Gō",,,,880-05 -- Roshia sobieto bungaku-Rekishi. -- jlabsh/3,Russian literature -- 19th century -- History and criticism,,,,"""21-seiki COE Puroguram; 21st century COE program.""",Includes bibliographical references.,Mode of access: Internet.,"In Japanese, including some Russian text with accompanying Japanese translation.",
mdp.39015008389556,25 years of Soviet Russian literature (1918-1943),"Struve, Gleb",1944,"G. Routledge & sons, ltd",,,,,,Russian literature -- 20th century -- History and criticism,,,,,Mode of access: Internet.,,,,
mdp.39015012305325,60 [i.e. Shestʹdesi︠a︡t] let sovetskoĭ poėzii : sobranie stikhov,,1977,Khudozhestvennai︠a︡ lit-ra,"Mikhaĭlov, Aleksandr Alekseevich","Kri︠u︡kov, Nikolaĭ Vasilʹevich",,,,Soviet literature -- Translations into Russian,Russian poetry -- Translations from foreign languages,"Poetry, Modern -- 20th century -- Translations into Russian",Russian poetry -- 20th century,,Includes indexes.,T. 1-2. Russkai︠a︡ sovetskai︠a︡ poėzii︠a︡.-- T. 3-4. Poėzii︠a︡ narodov SSSR.,Mode of access: Internet.,,
uc1.b3466473,60 [i.e. Shestʹdesi︠a︡t] let sovetskoĭ poėzii : sobranie stikhov,,1977,Khudozhestvennai︠a︡ lit-ra,"Mikhaĭlov, Aleksandr Alekseevich","Kri︠u︡kov, Nikolaĭ Vasilʹevich",,,,Soviet literature -- Translations into Russian,Russian poetry -- Translations from foreign languages,"Poetry, Modern -- 20th century -- Translations into Russian",Russian poetry -- 20th century,,Includes indexes.,T. 1-2. Russkai︠a︡ sovetskai︠a︡ poėzii︠a︡.-- T. 3-4. Poėzii︠a︡ narodov SSSR.,Mode of access: Internet.,,
mdp.39015012288406,60 [i.e. Shestʹdesi︠a︡t] let sovetskoĭ poėzii : sobranie stikhov,,1977,Khudozhestvennai︠a︡ lit-ra,"Mikhaĭlov, Aleksandr Alekseevich","Kri︠u︡kov, Nikolaĭ Vasilʹevich",,,,Soviet literature -- Translations into Russian,Russian poetry -- Translations from foreign languages,"Poetry, Modern -- 20th century -- Translations into Russian",Russian poetry -- 20th century,,Includes indexes.,T. 1-2. Russkai︠a︡ sovetskai︠a︡ poėzii︠a︡.-- T. 3-4. Poėzii︠a︡ narodov SSSR.,Mode of access: Internet.,,
uc1.b3466474,60 [i.e. Shestʹdesi︠a︡t] let sovetskoĭ poėzii : sobranie stikhov,,1977,Khudozhestvennai︠a︡ lit-ra,"Mikhaĭlov, Aleksandr Alekseevich","Kri︠u︡kov, Nikolaĭ Vasilʹevich",,,,Soviet literature -- Translations into Russian,Russian poetry -- Translations from foreign languages,"Poetry, Modern -- 20th century -- Translations into Russian",Russian poetry -- 20th century,,Includes indexes.,T. 1-2. Russkai︠a︡ sovetskai︠a︡ poėzii︠a︡.-- T. 3-4. Poėzii︠a︡ narodov SSSR.,Mode of access: Internet.,,
mdp.39015051102518,60 [i.e. Shestʹdesi︠a︡t] let sovetskoĭ poėzii : sobranie stikhov,,1977,Khudozhestvennai︠a︡ lit-ra,"Mikhaĭlov, Aleksandr Alekseevich","Kri︠u︡kov, Nikolaĭ Vasilʹevich",,,,Soviet literature -- Translations into Russian,Russian poetry -- Translations from foreign languages,"Poetry, Modern -- 20th century -- Translations into Russian",Russian poetry -- 20th century,,Includes indexes.,T. 1-2. Russkai︠a︡ sovetskai︠a︡ poėzii︠a︡.-- T. 3-4. Poėzii︠a︡ narodov SSSR.,Mode of access: Internet.,,
uc1.b3466475,60 [i.e. Shestʹdesi︠a︡t] let sovetskoĭ poėzii : sobranie stikhov,,1977,Khudozhestvennai︠a︡ lit-ra,"Mikhaĭlov, Aleksandr Alekseevich","Kri︠u︡kov, Nikolaĭ Vasilʹevich",,,,Soviet literature -- Translations into Russian,Russian poetry -- Translations from foreign languages,"Poetry, Modern -- 20th century -- Translations into Russian",Russian poetry -- 20th century,,Includes indexes.,T. 1-2. Russkai︠a︡ sovetskai︠a︡ poėzii︠a︡.-- T. 3-4. Poėzii︠a︡ narodov SSSR.,Mode of access: Internet.,,
